290136,茺 篦,女,29.0,67.0,15.0
278150,荕 实,男,69.0,45.0,97.0
043765,巆埊皋,男,19.0,99.0,64.0
364582,婅 罇,男,41.0,96.0,42.0
538907,共 摆,女,36.0,88.0,67.0
872103,罏 煪,男,83.0,18.0,80.0
019687,傞 烽,男,26.0,36.0,60.0
403158,璄戼湎,男,60.0,65.0,86.0
716598,嗨氋歝,男,55.0,91.0,87.0
837269,姟 禙,女,31.0,65.0,53.0
069347,喹 卮,女,23.0,13.0,89.0
794308,厎 绤,女,54.0,46.0,86.0
354186,糳 挻,男,62.0,85.0,76.0
467508,斘嗨毑,男,25.0,86.0,36.0
417965,罢箔炮,男,60.0,17.0,71.0
893521,晪湩僰,男,72.0,95.0,10.0
815490,棢汲榽,男,25.0,13.0,51.0
903762,夁瞒肕,男,51.0,43.0,89.0
197635,勆兊畔,女,97.0,34.0,66.0
901754,牉姝砀,女,23.0,51.0,11.0
680975,矿 效,女,75.0,50.0,41.0
514320,糷屳噡,女,36.0,48.0,56.0
056249,箱硗怋,男,18.0,81.0,82.0
425018,脡盋此,男,67.0,74.0,93.0
567129,忽 氋,女,100.0,52.0,14.0
867351,斺扩棩,女,59.0,55.0,91.0
134579,濅 荧,女,32.0,36.0,84.0
250891,稌 殶,男,92.0,68.0,71.0
746803,罷 孍,男,52.0,18.0,47.0
610529,浏簒搻,女,82.0,94.0,76.0
920478,套 捗,女,36.0,35.0,65.0
149037,烢硹妫,男,96.0,58.0,10.0
987156,俩 甬,男,60.0,60.0,55.0
546821,檟 累,男,97.0,37.0,61.0
975208,慳純樈,女,45.0,32.0,34.0
259860,哃 朖,女,93.0,71.0,81.0
847392,茄 厼,女,68.0,29.0,60.0
413075,偨 塋,男,30.0,85.0,95.0
561389,担燅凎,男,91.0,86.0,98.0
274893,嶈 纳,女,24.0,28.0,82.0
645032,懗 艊,女,89.0,95.0,50.0
039827,揨徴烓,男,82.0,69.0,56.0
194753,尿撚暁,女,41.0,90.0,46.0
